Run,Sal,Oxy,SNI,Sham
SRR23195505,True,False,True,False
SRR23195506,False,True,False,True
SRR23195507,True,False,False,True
SRR23195508,False,True,True,False
SRR23195509,False,True,True,False
SRR23195510,True,False,True,False
SRR23195511,False,True,False,True
SRR23195512,True,False,False,True
SRR23195513,True,False,True,False
SRR23195514,False,True,False,True
SRR23195515,True,False,False,True
SRR23195516,False,True,True,False
SRR23195517,False,True,True,False
SRR23195518,True,False,True,False
SRR23195519,False,True,False,True
SRR23195520,True,False,False,True
